26,21,108,12,51,93,1
73,100,79,63,65,114,2
31,62,42,45,50,52,1
31,37,40,58,52,64,1
77,78,72,71,68,125,3
58,57,44,51,65,57,1
27,78,56,89,42,54,2
111,128,78,95,82,102,3
48,59,78,34,51,62,2
58,79,58,96,57,58,2
75,101,39,99,70,110,2
54,53,64,57,53,38,1
47,47,50,65,67,43,1
75,83,64,67,67,55,2
64,82,74,70,73,41,2
55,65,82,49,53,98,2
93,93,68,49,47,59,2
68,118,48,67,86,124,2
74,82,107,78,88,103,3
63,104,83,73,77,108,3
113,73,72,91,103,81,2
54,64,44,60,45,40,1
56,106,43,146,49,33,2
77,103,113,81,90,119,4
39,54,64,41,51,69,1
108,147,146,88,90,94,5
69,67,73,41,47,97,1
52,79,75,63,59,107,1
73,56,107,79,83,95,2
59,59,44,65,42,41,1
61,60,61,78,75,78,2
95,107,127,87,93,94,3
31,57,47,42,41,59,1
61,65,134,60,96,111,2
30,42,34,93,28,41,1
62,61,110,63,95,128,2
48,47,42,57,53,65,1
46,60,61,42,47,64,1
76,100,102,60,58,63,2
59,85,64,68,76,81,2
69,83,46,59,44,42,1
39,58,29,33,28,38,1
37,47,33,35,38,57,1
152,118,116,98,98,91,5
49,30,65,51,53,19,1
61,52,70,57,56,74,1
80,81,73,74,73,104,3
48,50,68,47,61,43,1
70,65,60,46,56,49,1
57,73,37,57,58,87,1
128,132,128,98,100,98,5
68,108,114,71,73,86,3
83,104,78,100,84,74,3
48,48,42,43,39,60,1
59,64,60,80,79,63,2
86,108,75,120,74,67,3
61,84,83,60,57,58,2
72,102,63,69,66,114,2
96,119,62,79,71,94,3
76,83,83,98,109,77,3
88,112,103,78,82,95,3
107,90,88,131,151,114,5
64,62,81,62,81,60,2
90,62,41,56,39,43,1
98,101,106,87,72,72,3
81,108,63,64,75,130,3
54,69,68,44,53,57,2
92,80,41,109,72,99,2
128,129,132,96,95,96,5
76,91,107,49,78,94,3
53,54,133,41,95,117,3
76,97,83,81,83,98,3
53,65,57,32,34,81,1
59,65,63,79,79,54,2
39,73,36,37,39,57,1
57,115,64,107,70,78,3
107,134,110,88,154,91,5
88,83,112,76,101,119,4
99,67,61,106,131,69,2
92,147,105,86,77,89,4
78,106,148,69,81,98,4
76,97,49,197,103,48,4
64,113,104,77,77,47,3
87,119,63,79,62,46,2
51,73,34,33,36,67,1
75,85,105,74,85,102,3
68,128,78,59,57,77,3
84,92,68,84,79,132,3
65,76,81,50,49,83,2
52,69,52,47,54,67,2
27,32,97,30,38,77,1
42,74,38,61,29,46,1
77,86,127,80,108,110,4
40,46,38,36,33,57,1
39,47,27,90,56,64,1
63,68,79,66,73,47,2
58,106,117,63,61,101,3
53,70,48,48,49,37,1
66,77,63,80,63,60,2
77,102,46,113,54,66,2
64,37,92,64,59,55,2
7,91,27,46,29,43,2
55,60,80,60,62,83,2
38,53,58,39,48,63,1
100,73,87,117,111,88,4
86,101,83,52,50,119,2
46,67,42,38,31,46,1
84,67,109,75,68,107,2
56,65,42,49,47,35,1
37,62,83,41,42,66,2
58,60,60,76,78,82,2
54,68,39,47,43,45,1
86,71,97,82,78,121,3
61,88,52,142,53,38,2
65,90,54,65,56,81,2
78,81,96,82,98,78,3
54,70,48,61,54,34,1
55,98,37,53,74,116,1
46,63,74,41,50,42,1
64,57,51,55,47,71,2
45,100,47,42,48,6,1
77,77,107,93,128,112,4
93,91,87,69,126,110,4
74,83,58,71,69,52,2
74,88,59,110,76,99,3
53,83,56,86,56,47,2
73,131,58,97,79,68,3
60,78,46,43,47,70,2
28,25,44,27,32,37,1
50,67,40,99,41,32,1
63,86,62,72,120,39,1
40,46,51,66,67,42,1
80,118,110,67,74,84,3
78,125,44,71,98,82,2
56,85,59,45,45,56,2
69,67,122,63,114,80,3
50,84,33,61,36,56,1
73,97,42,121,76,96,2
58,79,37,52,42,33,1
66,107,52,82,76,101,2
98,153,117,121,98,87,5
80,85,80,102,96,78,3
46,89,62,24,16,67,1
52,52,42,94,48,35,1
39,62,41,39,42,32,1
70,91,59,67,57,71,2
42,35,123,27,73,102,2
80,118,82,96,76,70,3
65,116,39,68,47,70,2
74,72,79,93,94,112,3
63,58,143,90,87,82,3
66,91,61,68,58,36,2
75,104,105,72,72,107,3
100,99,101,97,98,101,5
86,81,97,96,123,86,4
64,55,113,54,91,106,2
60,91,48,47,53,163,2
40,43,65,36,59,68,1
93,110,74,105,87,55,3
113,112,87,82,77,103,4
42,60,53,33,35,78,1
55,61,77,58,66,80,2
66,109,62,178,62,48,3
73,86,55,84,65,37,2
97,112,82,91,89,62,3
49,72,17,84,27,37,1
63,95,62,102,51,52,2
63,74,35,107,67,88,1
65,124,63,65,119,80,3
61,63,87,59,73,76,2
72,71,113,73,100,101,3
49,83,64,55,67,90,1
61,98,96,98,97,61,3
121,103,100,65,81,65,2
61,64,130,63,78,111,3
87,80,113,83,53,91,2
83,89,113,86,99,63,3
69,89,133,87,91,123,4
71,72,82,57,59,59,2
62,83,53,111,80,43,2
43,60,62,37,46,73,1
37,36,63,38,58,52,2
95,121,73,79,70,55,2
42,47,114,44,51,98,2
40,28,48,38,39,56,1
73,124,94,43,41,97,3
73,93,104,66,71,122,3
52,58,61,43,47,46,1
42,37,60,36,43,70,1
93,122,59,123,59,54,2
93,128,72,89,90,110,4
126,88,83,80,97,56,2
51,64,89,41,65,95,2
110,123,100,61,66,64,3
64,62,48,46,41,44,1
94,132,111,80,81,99,3
101,101,103,99,98,104,5
43,82,36,100,34,30,1
71,86,105,69,83,123,3
59,72,59,57,52,87,2
